# index, s_values, normalised s_values, cumulative energy 
0 362.375 1       0.8997847019 
1 53.4031 0.14737       0.9193260413 
2 49.8651 0.137606       0.9363638883 
3 39.5285 0.109082       0.9470702517 
4 34.5684 0.0953939       0.9552582928 
5 31.9912 0.0882821       0.9622709651 
6 28.9139 0.07979       0.9679993911 
7 25.8695 0.0713886        0.972584999 
8 22.685 0.0626008       0.9761111307 
9 21.0743 0.0581559       0.9791543032 
10 19.5116 0.0538438       0.9817629136 
11 18.2408 0.0503369       0.9840427905 
12 17.3423 0.0478573       0.9861035868 
13 16.5491 0.0456684       0.9879801833 
14 15.4913 0.0427493       0.9896245409 
15 14.765 0.0407452       0.9911183362 
16 13.5413 0.0373681       0.9923747747 
17 13.3938 0.0369611       0.9936039898 
18 12.5448 0.0346183        0.994682316 
19 11.7932 0.0325443       0.9956353041 
20 10.6297 0.0293334       0.9964095234 
21 10.4855 0.0289356       0.9971628864 
22 9.82498 0.0271127       0.9978243183 
23 8.87688 0.0244964       0.9983642549 
24 7.54587 0.0208234       0.9987544127 
25 7.27839 0.0200853       0.9991174015 
26 6.81865 0.0188165       0.9994359815 
27 5.31253 0.0146603       0.9996293671 
28 4.37204 0.012065       0.9997603426 
29 3.60684 0.00995332        0.999849483 
30 2.92397 0.00806889       0.9999080653 
31 2.09753 0.00578827       0.9999382118 
32 1.45697 0.00402061       0.9999527571 
33 1.20425 0.00332321       0.9999626941 
34 1.16436 0.00321314       0.9999719837 
35 0.924065 0.00255002       0.9999778346 
36 0.826422 0.00228057       0.9999825144 
37 0.746356 0.00205962       0.9999863314 
38 0.667832 0.00184293       0.9999893874 
39 0.59774 0.00164951       0.9999918356 
40 0.481383 0.00132841       0.9999934234 
41 0.475472 0.0013121       0.9999949725 
42 0.401322 0.00110748       0.9999960761 
43 0.32315 0.000891755       0.9999967916 
44 0.303842 0.000838475       0.9999974242 
45 0.279907 0.000772424        0.999997961 
46 0.237298 0.000654841       0.9999983469 
47 0.190659 0.000526137        0.999998596 
48 0.171685 0.000473776       0.9999987979 
49 0.147149 0.000406069       0.9999989463 
50 0.130391 0.000359825       0.9999990628 
51 0.124147 0.000342594       0.9999991684 
52 0.115073 0.000317551       0.9999992591 
53 0.112443 0.000310295       0.9999993458 
54 0.109083 0.000301023       0.9999994273 
55 0.0987317 0.000272457       0.9999994941 
56 0.0947887 0.000261576       0.9999995557 
57 0.0879292 0.000242647       0.9999996086 
58 0.0830773 0.000229258       0.9999996559 
59 0.0790272 0.000218081       0.9999996987 
60 0.0719125 0.000198448       0.9999997342 
61 0.0706066 0.000194844       0.9999997683 
62 0.0676259 0.000186619       0.9999997997 
63 0.0604106 0.000166707       0.9999998247 
64 0.057916 0.000159823       0.9999998476 
65 0.0555408 0.000153269       0.9999998688 
66 0.052548 0.00014501       0.9999998877 
67 0.045369 0.000125199       0.9999999018 
68 0.0446095 0.000123103       0.9999999154 
69 0.0418028 0.000115358       0.9999999274 
70 0.0408797 0.00011281       0.9999999389 
71 0.0382017 0.00010542       0.9999999489 
72 0.0335747 9.26519e-05       0.9999999566 
73 0.032324 8.92004e-05       0.9999999638 
74 0.0298388 8.23423e-05       0.9999999699 
75 0.02919 8.0552e-05       0.9999999757 
76 0.0255789 7.05868e-05       0.9999999802 
77 0.0242328 6.68722e-05       0.9999999842 
78 0.0214767 5.92665e-05       0.9999999874 
79 0.0211188 5.82789e-05       0.9999999904 
80 0.0196176 5.41361e-05       0.9999999931 
81 0.0187495 5.17405e-05       0.9999999955 
82 0.0149708 4.1313e-05        0.999999997 
83 0.0117517 3.24297e-05       0.9999999979 
84 0.00902906 2.49164e-05       0.9999999985 
85 0.00811026 2.23809e-05        0.999999999 
86 0.00747407 2.06252e-05       0.9999999993 
87 0.00658082 1.81602e-05       0.9999999996 
88 0.00518711 1.43142e-05       0.9999999998 
89 0.0047193 1.30233e-05                  1 
90 0.00154148 4.25384e-06                  1 
91 0.00101279 2.79486e-06                  1 
92 0.000822316 2.26924e-06                  1 
93 0.000431719 1.19136e-06                  1 
94 0.000231204 6.38024e-07                  1 
95 0.000160754 4.43613e-07                  1 
96 0.000128352 3.54196e-07                  1 
97 3.05717e-05 8.43648e-08                  1 
98 2.41196e-05 6.65597e-08                  1 
99 1.60108e-05 4.41831e-08                  1 
